availability_of_water,location,distant_from_school,room_type,apartment_type,price
yes,Jabulo,10,single room,bungalow,115963
yes,Jabulo,10,self contain,bungalow,195398
yes,Jabulo,5,single room,duplex,142524
yes,Jabulo,15,single room,bungalow,141397
yes,Danbare,10,self contain,duplex,143831
yes,Jabulo,15,single room,duplex,108498
yes,Hawa dawai ke,15,single room,duplex,134416
yes,Hawa dawai ke,15,single room,bungalow,111789
yes,Hawa dawai ke,10,self contain,duplex,160477
yes,Danbare,15,single room,bungalow,109548
yes,Hawa dawai ke,10,self contain,duplex,228415
yes,Rimi gata,5,single room,duplex,100704
yes,Jabulo,10,single room,duplex,114377
yes,Hawa dawai ke,15,single room,bungalow,136586
yes,Rimi gata,5,self contain,duplex,218421
yes,Danbare,10,self contain,bungalow,232569
yes,Hawa dawai ke,15,self contain,bungalow,182246
yes,Jabulo,5,self contain,duplex,193350
yes,Jabulo,10,single room,duplex,117218
yes,Jabulo,10,single room,duplex,137279
yes,Rimi gata,5,self contain,duplex,120063
yes,Rimi gata,15,self contain,bungalow,103551
yes,Hawa dawai ke,10,self contain,duplex,199666
yes,Hawa dawai ke,10,single room,bungalow,139499
yes,Hawa dawai ke,5,self contain,bungalow,206531
yes,Rimi gata,15,self contain,duplex,212364
yes,Hawa dawai ke,10,self contain,bungalow,130466
yes,Jabulo,15,self contain,bungalow,143443
yes,Rimi gata,15,single room,duplex,147268
yes,Hawa dawai ke,5,self contain,bungalow,235267
yes,Rimi gata,10,self contain,bungalow,109378
yes,Hawa dawai ke,15,single room,duplex,108407
yes,Danbare,5,single room,duplex,123804
yes,Danbare,5,single room,duplex,119635
yes,Jabulo,10,single room,duplex,138188
yes,Danbare,10,single room,duplex,106247
yes,Hawa dawai ke,15,single room,duplex,110082
yes,Jabulo,15,single room,duplex,118437
yes,Rimi gata,10,single room,bungalow,118793
yes,Rimi gata,15,self contain,duplex,214317
yes,Hawa dawai ke,10,self contain,bungalow,188469
yes,Rimi gata,10,single room,bungalow,126740
yes,Hawa dawai ke,5,single room,duplex,120866
yes,Danbare,10,single room,duplex,149455
yes,Hawa dawai ke,15,single room,bungalow,114864
yes,Danbare,10,single room,bungalow,129570
yes,Jabulo,15,single room,duplex,131909
yes,Hawa dawai ke,15,self contain,bungalow,179503
yes,Jabulo,10,self contain,duplex,104207
yes,Jabulo,10,single room,bungalow,107200
yes,Danbare,5,self contain,bungalow,132672
yes,Hawa dawai ke,15,self contain,duplex,212473
yes,Hawa dawai ke,15,single room,bungalow,138639
yes,Danbare,10,single room,bungalow,101605
yes,Hawa dawai ke,5,single room,duplex,122978
yes,Hawa dawai ke,10,single room,duplex,138108
yes,Danbare,15,single room,bungalow,117457
yes,Hawa dawai ke,5,self contain,bungalow,232852
yes,Rimi gata,15,single room,bungalow,109375
yes,Danbare,5,self contain,duplex,199222
yes,Rimi gata,5,self contain,duplex,186389
yes,Rimi gata,15,self contain,duplex,163971
yes,Hawa dawai ke,15,self contain,duplex,189054
yes,Jabulo,5,single room,bungalow,149924
yes,Danbare,10,single room,bungalow,124546
yes,Rimi gata,10,single room,bungalow,128027
yes,Rimi gata,15,single room,bungalow,103992
yes,Danbare,5,self contain,duplex,208473
yes,Danbare,10,single room,duplex,141981
yes,Danbare,15,single room,bungalow,124738
yes,Danbare,15,single room,duplex,109233
yes,Danbare,5,single room,bungalow,139894
yes,Jabulo,10,single room,bungalow,149684
yes,Rimi gata,10,self contain,bungalow,205655
yes,Rimi gata,15,single room,duplex,116484
yes,Hawa dawai ke,5,single room,duplex,121091
yes,Hawa dawai ke,10,self contain,duplex,235701
yes,Jabulo,15,self contain,duplex,143869
yes,Jabulo,15,single room,duplex,127079
yes,Rimi gata,5,self contain,bungalow,174096
yes,Jabulo,5,self contain,duplex,123855
yes,Rimi gata,10,single room,bungalow,102903
yes,Hawa dawai ke,15,single room,bungalow,101305
yes,Hawa dawai ke,10,self contain,duplex,107140
yes,Hawa dawai ke,10,self contain,bungalow,102766
yes,Hawa dawai ke,10,single room,bungalow,103070
yes,Rimi gata,10,self contain,duplex,206618
yes,Rimi gata,10,self contain,duplex,164214
yes,Danbare,10,single room,bungalow,145925
yes,Jabulo,10,self contain,duplex,249505
yes,Danbare,10,single room,duplex,130783
yes,Danbare,15,self contain,bungalow,124614
yes,Rimi gata,10,single room,bungalow,120339
yes,Rimi gata,5,self contain,duplex,161424
yes,Hawa dawai ke,10,single room,bungalow,108762
yes,Jabulo,5,self contain,duplex,118396
yes,Danbare,10,single room,duplex,139966
yes,Jabulo,5,single room,duplex,125850
yes,Rimi gata,15,self contain,duplex,161694
yes,Hawa dawai ke,10,self contain,bungalow,146709
yes,Danbare,5,single room,duplex,139885
yes,Hawa dawai ke,10,single room,bungalow,126012
yes,Jabulo,10,self contain,duplex,150283
yes,Hawa dawai ke,10,single room,duplex,139437
yes,Rimi gata,5,single room,bungalow,140013
yes,Danbare,10,self contain,bungalow,190723
yes,Jabulo,10,self contain,bungalow,232653
yes,Hawa dawai ke,5,self contain,bungalow,191365
yes,Rimi gata,10,self contain,bungalow,143776
yes,Jabulo,5,self contain,duplex,103436
yes,Hawa dawai ke,10,single room,bungalow,149785
yes,Rimi gata,10,self contain,bungalow,105580
yes,Hawa dawai ke,10,self contain,duplex,180202
yes,Rimi gata,5,self contain,bungalow,242987
yes,Danbare,5,single room,duplex,104712
yes,Jabulo,15,self contain,duplex,113219
yes,Rimi gata,5,self contain,duplex,220063
yes,Danbare,15,self contain,bungalow,194420
yes,Jabulo,15,self contain,bungalow,138051
yes,Hawa dawai ke,10,self contain,bungalow,189871
yes,Jabulo,15,single room,duplex,131365
yes,Rimi gata,10,single room,bungalow,125536
yes,Danbare,15,self contain,bungalow,136783
yes,Hawa dawai ke,10,self contain,bungalow,224881
yes,Rimi gata,10,self contain,duplex,222087
yes,Jabulo,10,single room,duplex,113555
yes,Rimi gata,15,single room,duplex,111329
yes,Rimi gata,5,single room,duplex,117914
yes,Rimi gata,10,single room,duplex,142933
yes,Danbare,10,single room,bungalow,116559
yes,Rimi gata,10,single room,duplex,115585
yes,Hawa dawai ke,15,single room,duplex,112643
yes,Danbare,15,single room,duplex,100280
yes,Jabulo,15,single room,bungalow,132689
yes,Jabulo,5,single room,bungalow,102091
yes,Jabulo,15,single room,duplex,109627
yes,Rimi gata,10,single room,duplex,133181
yes,Danbare,10,self contain,duplex,127582
yes,Danbare,5,self contain,bungalow,143577
yes,Jabulo,5,self contain,duplex,204634
yes,Jabulo,15,single room,duplex,143843
yes,Jabulo,10,self contain,duplex,137424
yes,Jabulo,10,self contain,bungalow,107873
yes,Danbare,10,self contain,bungalow,126794
yes,Danbare,15,self contain,duplex,188151
yes,Jabulo,15,single room,bungalow,140935
yes,Hawa dawai ke,15,single room,bungalow,128526
yes,Jabulo,10,self contain,bungalow,153560
yes,Rimi gata,10,single room,duplex,141721
yes,Danbare,5,self contain,bungalow,103140
yes,Rimi gata,10,single room,duplex,104559
yes,Danbare,15,single room,bungalow,145353
yes,Jabulo,15,self contain,duplex,141336
yes,Danbare,15,self contain,bungalow,117760
yes,Rimi gata,5,single room,duplex,135370
yes,Hawa dawai ke,15,single room,duplex,114130
yes,Hawa dawai ke,10,self contain,duplex,197305
yes,Hawa dawai ke,10,single room,duplex,116229
yes,Hawa dawai ke,15,single room,bungalow,139055
yes,Danbare,15,self contain,bungalow,199303
yes,Rimi gata,10,single room,bungalow,119938
yes,Danbare,5,self contain,bungalow,230189
yes,Hawa dawai ke,15,self contain,duplex,240329
yes,Rimi gata,10,self contain,bungalow,159028
yes,Danbare,15,self contain,duplex,229857
yes,Jabulo,15,self contain,bungalow,225512
yes,Jabulo,10,self contain,duplex,105073
yes,Danbare,5,single room,bungalow,116750
yes,Hawa dawai ke,15,self contain,bungalow,144984
yes,Hawa dawai ke,15,single room,bungalow,139349
yes,Jabulo,5,self contain,bungalow,178637
yes,Danbare,15,self contain,bungalow,193471
yes,Hawa dawai ke,10,self contain,duplex,101630
yes,Rimi gata,10,self contain,bungalow,133570
yes,Rimi gata,15,single room,duplex,102490
yes,Danbare,5,self contain,duplex,165796
yes,Rimi gata,5,single room,bungalow,139025
yes,Hawa dawai ke,5,self contain,duplex,155652
yes,Hawa dawai ke,5,single room,bungalow,128264
yes,Jabulo,10,single room,bungalow,147579
yes,Danbare,15,single room,bungalow,135548
yes,Rimi gata,15,self contain,duplex,205541
yes,Jabulo,15,self contain,duplex,104035
yes,Hawa dawai ke,15,self contain,bungalow,150571
yes,Rimi gata,10,single room,duplex,142503
yes,Jabulo,15,self contain,bungalow,236327
yes,Hawa dawai ke,5,single room,bungalow,137417
yes,Hawa dawai ke,15,single room,bungalow,149359
yes,Hawa dawai ke,10,single room,duplex,132970
yes,Jabulo,10,single room,bungalow,131716
yes,Rimi gata,15,self contain,bungalow,236969
yes,Hawa dawai ke,5,single room,bungalow,116739
yes,Jabulo,5,self contain,bungalow,170710
yes,Jabulo,15,single room,bungalow,147949
yes,Jabulo,15,single room,bungalow,110810
yes,Rimi gata,15,self contain,bungalow,249749
yes,Jabulo,15,self contain,bungalow,126463
yes,Jabulo,10,single room,duplex,115659
yes,Hawa dawai ke,10,single room,bungalow,110855
yes,Rimi gata,15,self contain,bungalow,106846
yes,Danbare,15,self contain,bungalow,142399
yes,Danbare,5,single room,bungalow,139476
yes,Danbare,5,single room,duplex,140944
yes,Jabulo,10,single room,bungalow,110848
yes,Jabulo,5,single room,duplex,123038
yes,Hawa dawai ke,5,single room,bungalow,105419
yes,Jabulo,15,self contain,duplex,114673
yes,Hawa dawai ke,10,single room,duplex,141476
yes,Jabulo,5,single room,duplex,125898
yes,Rimi gata,5,self contain,duplex,238028
yes,Rimi gata,15,single room,bungalow,139938
yes,Danbare,10,self contain,bungalow,139221
yes,Rimi gata,10,self contain,bungalow,152552
yes,Danbare,15,single room,duplex,128212
yes,Danbare,5,self contain,duplex,233152
yes,Rimi gata,5,single room,duplex,119005
yes,Jabulo,5,self contain,duplex,209647
yes,Danbare,5,single room,duplex,121621
yes,Rimi gata,10,single room,duplex,113597
yes,Rimi gata,10,single room,duplex,118188
yes,Jabulo,10,self contain,duplex,176300
yes,Jabulo,10,self contain,bungalow,119967
yes,Jabulo,10,self contain,bungalow,168959
yes,Hawa dawai ke,10,single room,duplex,127299
yes,Rimi gata,5,single room,bungalow,119909
yes,Danbare,10,self contain,duplex,122595
yes,Danbare,5,self contain,duplex,154157
yes,Hawa dawai ke,15,self contain,bungalow,192259
yes,Rimi gata,5,self contain,bungalow,194364
yes,Danbare,10,single room,duplex,109112
yes,Hawa dawai ke,15,self contain,duplex,184351
yes,Hawa dawai ke,5,single room,duplex,106585
yes,Rimi gata,5,single room,bungalow,140017
yes,Hawa dawai ke,5,single room,duplex,134807
yes,Hawa dawai ke,15,self contain,duplex,211540
yes,Danbare,5,single room,bungalow,147930
yes,Danbare,15,single room,duplex,135992
yes,Hawa dawai ke,5,single room,bungalow,130901
yes,Danbare,5,single room,bungalow,130576
yes,Hawa dawai ke,5,single room,bungalow,129603
yes,Danbare,10,self contain,duplex,117898
yes,Danbare,5,single room,duplex,137049
yes,Jabulo,15,single room,duplex,121624
yes,Rimi gata,10,single room,bungalow,105208
yes,Rimi gata,5,single room,duplex,138342
yes,Rimi gata,15,single room,bungalow,109966
yes,Jabulo,15,self contain,bungalow,235383
yes,Rimi gata,10,single room,duplex,127711
yes,Hawa dawai ke,10,self contain,duplex,223950
yes,Danbare,5,self contain,bungalow,148219
yes,Jabulo,5,single room,bungalow,100187
yes,Jabulo,5,self contain,duplex,222639
yes,Danbare,15,self contain,bungalow,111551
yes,Rimi gata,10,self contain,duplex,243701
yes,Rimi gata,10,single room,bungalow,108725
yes,Hawa dawai ke,10,single room,bungalow,128736
yes,Rimi gata,5,single room,duplex,136440
yes,Hawa dawai ke,10,single room,duplex,136664
yes,Hawa dawai ke,10,self contain,bungalow,171224
yes,Hawa dawai ke,5,single room,duplex,126836
yes,Danbare,5,self contain,bungalow,248073
yes,Danbare,10,self contain,bungalow,139201
yes,Jabulo,5,self contain,bungalow,216202
yes,Hawa dawai ke,5,single room,duplex,101579
yes,Hawa dawai ke,5,self contain,duplex,238768
yes,Hawa dawai ke,10,single room,bungalow,139194
yes,Danbare,5,single room,duplex,149329
yes,Jabulo,10,self contain,duplex,116509
yes,Danbare,15,single room,bungalow,115676
yes,Hawa dawai ke,15,single room,bungalow,116174
yes,Rimi gata,10,self contain,bungalow,180975
yes,Rimi gata,5,self contain,duplex,246760
yes,Danbare,15,self contain,duplex,102024
yes,Hawa dawai ke,15,self contain,bungalow,161580
yes,Rimi gata,10,single room,duplex,136795
yes,Danbare,5,self contain,duplex,127771
yes,Danbare,10,single room,bungalow,137695
yes,Hawa dawai ke,5,self contain,duplex,196937
yes,Danbare,5,single room,duplex,107878
yes,Hawa dawai ke,15,self contain,duplex,206409
yes,Hawa dawai ke,10,single room,duplex,148332
yes,Jabulo,15,single room,bungalow,123717
yes,Jabulo,5,self contain,bungalow,224243
yes,Hawa dawai ke,10,single room,bungalow,148040
yes,Danbare,15,self contain,bungalow,177784
yes,Danbare,5,single room,bungalow,142346
yes,Rimi gata,15,single room,bungalow,115656
yes,Rimi gata,15,single room,bungalow,133552
yes,Rimi gata,10,self contain,bungalow,181031
yes,Jabulo,10,single room,duplex,144015
yes,Jabulo,15,single room,duplex,109657
yes,Rimi gata,5,single room,duplex,127323
yes,Danbare,15,self contain,bungalow,155365
yes,Hawa dawai ke,10,self contain,bungalow,246625
yes,Jabulo,5,single room,duplex,120737
yes,Danbare,15,self contain,duplex,157658
yes,Rimi gata,5,self contain,duplex,214903
yes,Danbare,15,single room,bungalow,114522
yes,Hawa dawai ke,15,single room,duplex,128144
yes,Rimi gata,10,single room,duplex,118591
yes,Rimi gata,10,self contain,bungalow,245725
yes,Rimi gata,10,self contain,duplex,123291
yes,Hawa dawai ke,5,single room,bungalow,115460
yes,Hawa dawai ke,15,self contain,duplex,218583
yes,Rimi gata,10,self contain,bungalow,210903
yes,Danbare,15,single room,duplex,122074
yes,Hawa dawai ke,10,self contain,bungalow,102129
yes,Danbare,15,self contain,duplex,171294
yes,Danbare,15,single room,bungalow,128313
yes,Rimi gata,5,self contain,duplex,219780
yes,Hawa dawai ke,5,single room,bungalow,132643
yes,Rimi gata,15,self contain,duplex,127618
yes,Danbare,5,single room,duplex,143824
yes,Hawa dawai ke,5,single room,bungalow,103221
yes,Jabulo,5,self contain,bungalow,148821
yes,Danbare,10,self contain,duplex,159617
yes,Danbare,15,self contain,duplex,150695
yes,Danbare,10,self contain,duplex,214670
yes,Rimi gata,15,single room,duplex,122834
yes,Rimi gata,5,single room,bungalow,143972
yes,Jabulo,5,self contain,bungalow,244518
yes,Jabulo,15,single room,bungalow,137039
yes,Danbare,5,single room,duplex,143734
yes,Danbare,10,self contain,duplex,110680
yes,Jabulo,10,self contain,bungalow,141268
yes,Danbare,5,single room,duplex,128447
yes,Rimi gata,15,self contain,duplex,195064
yes,Rimi gata,15,single room,bungalow,105670
yes,Hawa dawai ke,10,single room,duplex,131850
yes,Rimi gata,10,single room,bungalow,127370
yes,Danbare,15,single room,duplex,143521
yes,Danbare,15,single room,bungalow,104918
yes,Danbare,5,single room,duplex,111934
yes,Hawa dawai ke,10,single room,bungalow,123966
yes,Danbare,10,self contain,duplex,234865
yes,Rimi gata,15,self contain,duplex,238528
yes,Danbare,15,self contain,duplex,144680
yes,Hawa dawai ke,5,single room,bungalow,105149
yes,Jabulo,10,single room,bungalow,114966
yes,Rimi gata,5,single room,duplex,114489
yes,Danbare,10,single room,duplex,132805
yes,Jabulo,15,single room,bungalow,116358
yes,Hawa dawai ke,15,single room,duplex,120642
yes,Danbare,5,self contain,bungalow,114673
yes,Jabulo,5,self contain,duplex,210552
yes,Hawa dawai ke,15,self contain,bungalow,158168
yes,Danbare,10,single room,bungalow,134381
yes,Jabulo,15,self contain,bungalow,222041
yes,Hawa dawai ke,15,self contain,duplex,226644
yes,Hawa dawai ke,5,self contain,duplex,213292
yes,Danbare,10,self contain,bungalow,232149
yes,Hawa dawai ke,15,self contain,duplex,208431
yes,Jabulo,5,self contain,duplex,241410
yes,Rimi gata,15,single room,duplex,100682
yes,Hawa dawai ke,5,single room,bungalow,124856
yes,Danbare,5,single room,bungalow,134157
yes,Danbare,15,single room,duplex,108178
yes,Jabulo,15,self contain,duplex,128845
yes,Rimi gata,5,single room,duplex,103979
yes,Hawa dawai ke,5,self contain,bungalow,142573
yes,Jabulo,15,self contain,duplex,229909
yes,Hawa dawai ke,5,single room,duplex,102939
yes,Rimi gata,5,single room,bungalow,102123
yes,Jabulo,10,single room,bungalow,140365
yes,Hawa dawai ke,5,single room,duplex,100262
yes,Rimi gata,10,self contain,duplex,170826
yes,Rimi gata,5,single room,duplex,125506
yes,Jabulo,10,self contain,bungalow,126443
yes,Danbare,10,single room,bungalow,143648
yes,Danbare,5,single room,bungalow,140807
yes,Jabulo,5,self contain,bungalow,221398
yes,Jabulo,5,single room,duplex,103176
yes,Hawa dawai ke,15,self contain,bungalow,196312
yes,Jabulo,15,self contain,bungalow,106582
yes,Hawa dawai ke,15,single room,duplex,109627
yes,Jabulo,15,single room,bungalow,138881
yes,Danbare,5,self contain,duplex,240921
yes,Rimi gata,15,self contain,duplex,175424
yes,Hawa dawai ke,10,single room,bungalow,125922
yes,Rimi gata,15,single room,bungalow,145043
yes,Rimi gata,15,single room,bungalow,100002
yes,Jabulo,5,self contain,bungalow,102038
yes,Jabulo,5,single room,duplex,138867
yes,Danbare,5,single room,duplex,144397
yes,Jabulo,15,self contain,duplex,139493
yes,Danbare,15,single room,duplex,131543
yes,Danbare,15,self contain,bungalow,141685
yes,Danbare,10,single room,duplex,128496
yes,Jabulo,5,self contain,bungalow,129347
yes,Hawa dawai ke,10,single room,bungalow,107736
yes,Rimi gata,10,self contain,bungalow,207012
yes,Hawa dawai ke,5,self contain,bungalow,183665
yes,Jabulo,10,self contain,duplex,144520
yes,Danbare,15,single room,duplex,103513
yes,Danbare,15,self contain,duplex,221876
yes,Hawa dawai ke,5,single room,bungalow,143862
yes,Rimi gata,10,single room,bungalow,118226
yes,Hawa dawai ke,10,single room,bungalow,130240
yes,Danbare,10,single room,duplex,129798
yes,Danbare,15,single room,duplex,118784
yes,Danbare,5,single room,bungalow,118079
yes,Danbare,10,single room,duplex,135059
yes,Danbare,10,single room,duplex,114375
yes,Rimi gata,5,single room,duplex,148041
yes,Danbare,5,single room,bungalow,124002
yes,Hawa dawai ke,10,self contain,bungalow,150943
yes,Jabulo,5,single room,duplex,111522
yes,Danbare,10,single room,duplex,148481
yes,Rimi gata,5,self contain,duplex,146271
yes,Hawa dawai ke,10,single room,duplex,119121
yes,Jabulo,10,single room,bungalow,132117
yes,Jabulo,5,single room,duplex,126849
yes,Hawa dawai ke,5,single room,duplex,118063
yes,Jabulo,15,single room,duplex,107926
yes,Hawa dawai ke,10,single room,bungalow,126938
yes,Jabulo,5,self contain,bungalow,204297
yes,Jabulo,10,self contain,bungalow,160370
yes,Danbare,15,self contain,duplex,235274
yes,Jabulo,10,single room,duplex,102418
yes,Hawa dawai ke,5,single room,bungalow,128847
yes,Rimi gata,10,self contain,duplex,246104
yes,Hawa dawai ke,15,self contain,duplex,177271
yes,Hawa dawai ke,5,single room,bungalow,103750
yes,Hawa dawai ke,15,self contain,duplex,102782
yes,Rimi gata,10,single room,bungalow,134908
yes,Hawa dawai ke,10,single room,bungalow,130354
yes,Rimi gata,5,single room,duplex,144891
yes,Danbare,10,single room,duplex,148716
yes,Danbare,5,self contain,bungalow,114261
yes,Hawa dawai ke,10,self contain,bungalow,249604
yes,Jabulo,15,single room,duplex,135641
yes,Rimi gata,15,single room,duplex,131285
yes,Rimi gata,5,single room,duplex,143180
yes,Hawa dawai ke,10,single room,duplex,134567
yes,Hawa dawai ke,5,self contain,bungalow,136386
yes,Rimi gata,10,single room,bungalow,130101
yes,Hawa dawai ke,5,self contain,bungalow,122725
yes,Hawa dawai ke,15,single room,bungalow,109375
yes,Jabulo,15,single room,bungalow,141328
yes,Jabulo,10,single room,duplex,106110
yes,Jabulo,5,single room,bungalow,119088
yes,Hawa dawai ke,10,single room,duplex,126692
yes,Jabulo,10,self contain,duplex,173088
yes,Jabulo,15,single room,duplex,119440
yes,Rimi gata,10,self contain,duplex,214045
yes,Jabulo,15,self contain,duplex,209527
yes,Jabulo,5,single room,bungalow,100400
yes,Hawa dawai ke,5,self contain,bungalow,219869
yes,Jabulo,5,single room,bungalow,124028
yes,Hawa dawai ke,15,self contain,bungalow,165762
yes,Hawa dawai ke,15,self contain,bungalow,142333
yes,Rimi gata,5,self contain,duplex,178608
yes,Danbare,15,self contain,bungalow,132571
yes,Danbare,5,self contain,bungalow,146280
yes,Hawa dawai ke,15,single room,bungalow,101078
yes,Jabulo,10,single room,bungalow,146098
yes,Jabulo,10,single room,duplex,140730
yes,Jabulo,10,self contain,duplex,212628
yes,Rimi gata,10,self contain,duplex,153511
yes,Rimi gata,10,self contain,bungalow,128139
yes,Rimi gata,15,single room,duplex,118511
yes,Hawa dawai ke,5,self contain,bungalow,181276
yes,Rimi gata,15,single room,duplex,126189
yes,Rimi gata,5,self contain,bungalow,176421
yes,Hawa dawai ke,5,self contain,duplex,151644
yes,Rimi gata,10,single room,bungalow,132171
yes,Hawa dawai ke,15,self contain,duplex,230237
yes,Hawa dawai ke,5,self contain,duplex,217600
yes,Rimi gata,15,self contain,bungalow,157046
yes,Rimi gata,10,self contain,duplex,159017
yes,Hawa dawai ke,15,single room,bungalow,136472
yes,Hawa dawai ke,15,self contain,bungalow,205440
yes,Rimi gata,15,single room,bungalow,112362
yes,Jabulo,5,self contain,bungalow,148203
yes,Jabulo,10,self contain,duplex,245327
yes,Jabulo,10,single room,bungalow,110557
yes,Rimi gata,15,self contain,duplex,142175
yes,Rimi gata,5,single room,bungalow,136981
yes,Rimi gata,5,single room,bungalow,118232
yes,Jabulo,15,self contain,bungalow,111242
yes,Danbare,15,self contain,duplex,101207
yes,Jabulo,15,single room,bungalow,136750
yes,Jabulo,15,self contain,bungalow,155066
yes,Rimi gata,15,self contain,bungalow,188908
yes,Danbare,15,single room,bungalow,126939
yes,Hawa dawai ke,5,self contain,duplex,116947
yes,Jabulo,5,self contain,duplex,209876
yes,Hawa dawai ke,15,single room,bungalow,135722
yes,Hawa dawai ke,10,single room,bungalow,121137
yes,Danbare,15,single room,duplex,112213
yes,Rimi gata,10,single room,duplex,116739
yes,Jabulo,15,single room,duplex,107704
yes,Hawa dawai ke,15,single room,bungalow,120996
yes,Danbare,5,self contain,duplex,130852
yes,Hawa dawai ke,5,single room,duplex,115082
yes,Rimi gata,15,single room,bungalow,101378
yes,Jabulo,15,self contain,bungalow,156017
yes,Jabulo,15,single room,duplex,134153
yes,Jabulo,5,single room,duplex,106872
yes,Danbare,15,single room,bungalow,143285
yes,Jabulo,10,self contain,duplex,236643
yes,Jabulo,15,single room,duplex,132416
yes,Danbare,15,single room,duplex,131693
yes,Rimi gata,5,self contain,bungalow,154619
yes,Jabulo,15,self contain,duplex,147041
yes,Hawa dawai ke,10,single room,duplex,147115
yes,Hawa dawai ke,10,single room,duplex,143227
yes,Danbare,15,single room,bungalow,107346
yes,Hawa dawai ke,10,single room,duplex,126373
yes,Jabulo,10,single room,bungalow,118636
yes,Danbare,5,self contain,duplex,189657
yes,Hawa dawai ke,5,self contain,duplex,227642
yes,Danbare,10,self contain,duplex,191772
yes,Hawa dawai ke,5,single room,bungalow,102262
yes,Danbare,15,single room,duplex,109483
yes,Jabulo,10,single room,duplex,116783
yes,Danbare,15,single room,bungalow,136821
yes,Hawa dawai ke,10,single room,duplex,140821
yes,Rimi gata,10,single room,duplex,129984
yes,Rimi gata,5,self contain,bungalow,119531
yes,Hawa dawai ke,5,single room,bungalow,109880
yes,Hawa dawai ke,5,single room,duplex,124367
yes,Danbare,15,single room,bungalow,132518
yes,Rimi gata,10,self contain,duplex,153141
yes,Jabulo,15,single room,bungalow,129856
yes,Jabulo,10,single room,duplex,106109
yes,Danbare,5,self contain,duplex,181188
yes,Hawa dawai ke,15,self contain,duplex,183810
yes,Hawa dawai ke,10,self contain,duplex,221242
yes,Rimi gata,5,self contain,duplex,142421
yes,Danbare,10,self contain,bungalow,209694
yes,Jabulo,15,self contain,duplex,167158
yes,Jabulo,15,single room,duplex,135229
yes,Jabulo,15,single room,bungalow,110798
yes,Jabulo,15,single room,duplex,145201
yes,Rimi gata,5,single room,bungalow,104683
yes,Hawa dawai ke,10,self contain,bungalow,182951
yes,Rimi gata,15,self contain,bungalow,247737
yes,Rimi gata,5,self contain,bungalow,180858
yes,Danbare,5,self contain,bungalow,165567
yes,Hawa dawai ke,5,self contain,bungalow,190962
yes,Jabulo,15,self contain,bungalow,189872
yes,Danbare,15,single room,duplex,133702
yes,Rimi gata,15,single room,bungalow,135350
yes,Danbare,5,self contain,bungalow,190734
yes,Danbare,5,single room,duplex,121605
yes,Rimi gata,15,single room,duplex,115927
yes,Danbare,10,self contain,bungalow,115163
yes,Jabulo,15,self contain,duplex,103746
yes,Danbare,10,single room,duplex,123831
yes,Jabulo,10,single room,bungalow,109002
yes,Danbare,5,single room,bungalow,147831
yes,Hawa dawai ke,5,self contain,duplex,171685
yes,Hawa dawai ke,5,self contain,bungalow,169258
yes,Rimi gata,15,single room,bungalow,120860
yes,Rimi gata,15,single room,bungalow,141659
yes,Rimi gata,5,single room,bungalow,143245
yes,Danbare,10,single room,duplex,111497
yes,Hawa dawai ke,5,single room,bungalow,132879
yes,Rimi gata,10,self contain,bungalow,184003
yes,Hawa dawai ke,10,single room,duplex,111701
yes,Danbare,15,single room,bungalow,135770
yes,Hawa dawai ke,15,self contain,bungalow,209014
yes,Hawa dawai ke,15,single room,duplex,131270
yes,Danbare,10,single room,bungalow,148205
yes,Danbare,5,self contain,duplex,119274
yes,Jabulo,10,single room,duplex,145010
yes,Rimi gata,10,self contain,duplex,188610
yes,Danbare,10,single room,bungalow,137377
yes,Danbare,5,single room,duplex,127056
yes,Danbare,5,self contain,bungalow,212875
yes,Danbare,10,self contain,bungalow,131563
yes,Rimi gata,10,self contain,duplex,236414
yes,Jabulo,5,self contain,bungalow,104264
yes,Hawa dawai ke,5,self contain,bungalow,186445
yes,Danbare,10,single room,bungalow,128368
yes,Jabulo,10,single room,duplex,133883
yes,Hawa dawai ke,10,self contain,duplex,164747
yes,Rimi gata,15,self contain,bungalow,201075
yes,Jabulo,10,self contain,bungalow,111706
yes,Jabulo,5,single room,bungalow,137796
yes,Danbare,15,single room,duplex,129693
yes,Danbare,5,single room,bungalow,119798
yes,Danbare,5,single room,bungalow,122972
yes,Hawa dawai ke,15,single room,bungalow,125078
yes,Rimi gata,15,self contain,duplex,214267
yes,Danbare,10,single room,bungalow,124170
yes,Danbare,10,self contain,bungalow,229247
yes,Danbare,15,self contain,duplex,249539
yes,Hawa dawai ke,15,single room,bungalow,147991
yes,Hawa dawai ke,10,single room,duplex,102519
yes,Hawa dawai ke,15,single room,bungalow,113852
yes,Danbare,15,single room,duplex,107895
yes,Hawa dawai ke,15,single room,duplex,113794
yes,Danbare,5,self contain,bungalow,219545
yes,Hawa dawai ke,5,self contain,duplex,179277
yes,Jabulo,5,self contain,duplex,212705
yes,Jabulo,10,single room,bungalow,149286
yes,Danbare,10,self contain,bungalow,157726
yes,Rimi gata,10,self contain,duplex,128815
yes,Rimi gata,5,single room,bungalow,142922
yes,Rimi gata,15,single room,bungalow,105467
yes,Danbare,5,single room,bungalow,139765
yes,Rimi gata,10,single room,duplex,115532
yes,Rimi gata,15,self contain,bungalow,187267
yes,Hawa dawai ke,5,single room,bungalow,106632
yes,Danbare,5,single room,bungalow,105411
